"ID","Title","Attachments","Created By","Created On","Estimate","Forecast","Priority","References","Section","Section Depth","Section Description","Suite","Suite ID","Type","Updated By","Updated On","is_converted"
"C57","Verify email form submission with an already registered email.","","Yhomarys Pinzon","8/24/2026 3:40 PM","","","Medium","HUN-15","For engineers","1","","Master","S6","Functional","Yhomarys Pinzon","9/10/2026 2:40 PM","1"
"C58","Check the visibility and redirection of the ""GET OFFERS"" action element.","","Yhomarys Pinzon","8/24/2026 3:45 PM","","","Medium","HUN-15","For engineers","1","","Master","S6","Functional","Yhomarys Pinzon","9/10/2026 2:40 PM","1"
"C59","Verify visibility and redirection of Google authentication button.","","Yhomarys Pinzon","8/24/2026 3:47 PM","","","Medium","HUN-15","For engineers","1","","Master","S6","Functional","Yhomarys Pinzon","9/10/2026 2:41 PM","1"
"C60","Verify visibility and redirection of LinkedIn authentication button.","","Yhomarys Pinzon","8/24/2026 3:51 PM","","","Medium","HUN-15","For engineers","1","","Master","S6","Functional","Yhomarys Pinzon","9/10/2026 2:41 PM","1"
"C61","Verify visibility and redirection of GitHub authentication button.","","Yhomarys Pinzon","8/24/2026 3:53 PM","","","Medium","HUN-15","For engineers","1","","Master","S6","Functional","Yhomarys Pinzon","9/10/2026 2:41 PM","1"
"C62","Verify display and data accuracy of job shortcut cards.","","Yhomarys Pinzon","8/24/2026 4:08 PM","","","Medium","HUN-15","For engineers","1","","Master","S6","Functional","Yhomarys Pinzon","9/10/2026 2:41 PM","1"
"C63","Verify visibility and APPLY action element redirection in job shortcuts.","","Yhomarys Pinzon","8/24/2026 4:11 PM","","","Medium","HUN-15","For engineers","1","","Master","S6","Functional","Yhomarys Pinzon","9/10/2026 2:42 PM","1"
"C64","Verify display and layout of Web3 link categories in footer.","","Yhomarys Pinzon","8/24/2026 4:22 PM","","","Medium","HUN-15","For engineers","1","","Master","S6","Functional","Yhomarys Pinzon","9/10/2026 2:42 PM","1"
"C65","Verify redirection trigger on individual footer Web3 links.","","Yhomarys Pinzon","8/24/2026 4:24 PM","","","Medium","HUN-15","For engineers","1","","Master","S6","Functional","Yhomarys Pinzon","9/10/2026 2:42 PM","1"
"C66","Verify replacement of registration form with mobile promo banner for authorized users.","","Yhomarys Pinzon","8/24/2026 4:29 PM","","","Medium","HUN-15","For engineers","1","","Master","S6","Functional","Yhomarys Pinzon","9/10/2026 2:43 PM","1"
"C67","Verify visibility and integrity of mobile promo banner elements.","","Yhomarys Pinzon","8/24/2026 4:38 PM","","","Medium","HUN-15","For engineers","1","","Master","S6","Functional","Yhomarys Pinzon","9/10/2026 2:43 PM","1"
"C68","Verify redirection trigger on individual mobile banner action elements.","","Yhomarys Pinzon","8/24/2026 4:46 PM","","","Medium","HUN-15","For engineers","1","","Master","S6","Functional","Yhomarys Pinzon","9/10/2026 2:43 PM","1"
"C69","Verify display and data integrity of engineers testimonials section.","","Yhomarys Pinzon","8/24/2026 4:53 PM","","","Medium","HUN-15","For engineers","1","","Master","S6","Functional","Yhomarys Pinzon","9/10/2026 2:43 PM","1"
"C70","Verify carrousel pagination and minimum threshold for testimonials.","","Yhomarys Pinzon","8/24/2026 4:56 PM","","","Medium","HUN-15","For engineers","1","","Master","S6","Functional","Yhomarys Pinzon","9/10/2026 2:44 PM","1"
"C71","Verify filter panel visibility for unauthenticated visitors.","","Yhomarys Pinzon","8/24/2026 5:28 PM","","","Medium","HUN-4","Filters","1","","Master","S6","Functional","Yhomarys Pinzon","8/24/2026 5:31 PM","1"
"C72","Verify filter restriction and access prompt display for visitors.","","Yhomarys Pinzon","8/24/2026 5:34 PM","","","Medium","HUN-4","Filters","1","","Master","S6","Functional","Yhomarys Pinzon","8/24/2026 5:36 PM","1"
"C73","Verify action elements redirection on filter access prompt.","","Yhomarys Pinzon","8/24/2026 5:36 PM","","","Medium","HUN-4","Filters","1","","Master","S6","Functional","Yhomarys Pinzon","8/24/2026 5:38 PM","1"
"C74","Verify visibility and expansion of Role dropdown menu.","","Yhomarys Pinzon","8/24/2026 5:44 PM","","","Medium","HUN-4","Filters","1","","Master","S6","Functional","Yhomarys Pinzon","8/24/2026 5:45 PM","1"
"C75","Verify input behavior and role entry restriction in Role field.","","Yhomarys Pinzon","8/24/2026 5:46 PM","","","Medium","HUN-4","Filters","1","","Master","S6","Functional","Yhomarys Pinzon","8/24/2026 5:48 PM","1"
"C76","Verify candidates list behavior with empty Role field.","","Yhomarys Pinzon","8/24/2026 5:48 PM","","","Medium","HUN-4","Filters","1","","Master","S6","Functional","Yhomarys Pinzon","8/24/2026 6:00 PM","1"
"C77","Verify visibility and expansion of Technologies dropdown menu.","","Yhomarys Pinzon","8/24/2026 6:02 PM","","","Medium","HUN-4","Filters","1","","Master","S6","Functional","Yhomarys Pinzon","8/24/2026 6:03 PM","1"
"C78","Verify input behavior and restriction in Technologies field.","","Yhomarys Pinzon","8/24/2026 6:04 PM","","","Medium","HUN-4","Filters","1","","Master","S6","Functional","Yhomarys Pinzon","8/24/2026 6:06 PM","1"
"C79","Verify candidates list behavior with empty Technologies field.","","Yhomarys Pinzon","8/24/2026 6:06 PM","","","Medium","HUN-4","Filters","1","","Master","S6","Functional","Yhomarys Pinzon","8/24/2026 6:07 PM","1"
"C80","Verify visibility of Desired Base Salary filter and period selectors.","","Yhomarys Pinzon","8/24/2026 6:10 PM","","","Medium","HUN-4","Filters","1","","Master","S6","Functional","Yhomarys Pinzon","8/24/2026 6:11 PM","1"
"C81","Verify sliding control behavior for salary range adjustment.","","Yhomarys Pinzon","8/24/2026 6:11 PM","","","Medium","HUN-4","Filters","1","","Master","S6","Functional","Yhomarys Pinzon","8/24/2026 6:13 PM","1"
"C82","Verify value toggle between Annual and Monthly selectors.","","Yhomarys Pinzon","8/24/2026 6:14 PM","","","Medium","HUN-4","Filters","1","","Master","S6","Functional","Yhomarys Pinzon","8/24/2026 6:17 PM","1"
"C83","Verify visibility and expansion of English level dropdown menu.","","Yhomarys Pinzon","8/24/2026 6:20 PM","","","Medium","HUN-4","Filters","1","","Master","S6","Functional","Yhomarys Pinzon","8/24/2026 6:21 PM","1"
"C84","Verify selection and filter application in English level field.","","Yhomarys Pinzon","8/24/2026 6:21 PM","","","Medium","HUN-4","Filters","1","","Master","S6","Functional","Yhomarys Pinzon","8/24/2026 6:22 PM","1"
"C85","Verify candidates list behavior with empty English level field.","","Yhomarys Pinzon","8/24/2026 6:22 PM","","","Medium","HUN-4","Filters","1","","Master","S6","Functional","Yhomarys Pinzon","8/24/2026 6:23 PM","1"
"C86","Verify visibility of Location filter and map toggle behavior.","","Yhomarys Pinzon","8/24/2026 6:25 PM","","","Medium","HUN-4","Filters","1","","Master","S6","Functional","Yhomarys Pinzon","8/24/2026 6:27 PM","1"
"C87","Verify sliding control behavior for timezone range adjustment.","","Yhomarys Pinzon","8/24/2026 6:27 PM","","","Medium","HUN-4","Filters","1","","Master","S6","Functional","Yhomarys Pinzon","8/24/2026 6:29 PM","1"
"C88","Verify Country/City tab switch and input behavior.","","Yhomarys Pinzon","8/24/2026 6:29 PM","","","Medium","HUN-4","Filters","1","","Master","S6","Functional","Yhomarys Pinzon","8/24/2026 6:30 PM","1"
"C89","Verify candidate list layout in visual card format.","","Yhomarys Pinzon","8/24/2026 6:47 PM","","","Medium","HUN-4","Candidates and Candidate profile","1","","Master","S6","Functional","Yhomarys Pinzon","8/24/2026 6:49 PM","1"
"C90","Verify candidate visual card contents and section rendering.","","Yhomarys Pinzon","8/24/2026 6:49 PM","","","Medium","HUN-4","Candidates and Candidate profile","1","","Master","S6","Other","Yhomarys Pinzon","8/24/2026 6:52 PM","1"
"C91","Verify visibility of the show experience toggle button on candidate card.","","Yhomarys Pinzon","8/24/2026 6:52 PM","","","Medium","HUN-4","Candidates and Candidate profile","1","","Master","S6","Functional","Yhomarys Pinzon","8/24/2026 6:55 PM","1"
"C92","Verify expansion and collapse behavior of candidate professional history.","","Yhomarys Pinzon","8/24/2026 6:55 PM","","","Medium","HUN-4","Candidates and Candidate profile","1","","Master","S6","Functional","Yhomarys Pinzon","8/25/2026 4:04 PM","1"
"C93","Verify visibility of the start chat action element on candidate card.","","Yhomarys Pinzon","8/25/2026 1:34 PM","","","Medium","HUN-5","Candidates and Candidate profile","1","","Master","S6","Functional","Yhomarys Pinzon","8/25/2026 3:59 PM","1"
"C94","Verify redirection and direct chat initiation with the candidate.","","Yhomarys Pinzon","8/25/2026 1:37 PM","","","Medium","HUN-5","Candidates and Candidate profile","1","","Master","S6","Functional","Yhomarys Pinzon","8/25/2026 3:36 PM","1"
"C95","Verify incomplete profile alert when starting chat.","","Yhomarys Pinzon","8/25/2026 1:47 PM","","","Medium","HUN-5","Candidates and Candidate profile","1","","Master","S6","Functional","Yhomarys Pinzon","8/25/2026 3:38 PM","1"
"C96","Verify candidate profile opening in a new browser tab.","","Yhomarys Pinzon","8/25/2026 1:57 PM","","","Medium","HUN-4","Candidates and Candidate profile","1","","Master","S6","Functional","Yhomarys Pinzon","8/25/2026 4:05 PM","1"
"C97","Verify candidate contact data masking before chat initiation.","","Yhomarys Pinzon","8/25/2026 2:04 PM","","","Medium","HUN-5","Candidates and Candidate profile","1","","Master","S6","Functional","Yhomarys Pinzon","8/25/2026 3:37 PM","1"
"C98","Verify ascending chronological order of candidate professional history.","","Yhomarys Pinzon","8/25/2026 2:22 PM","","","Medium","HUN-4","Candidates and Candidate profile","1","","Master","S6","Functional","Yhomarys Pinzon","8/25/2026 4:06 PM","1"
"C99","Validate the empty email field.","","Yhomarys Pinzon","8/25/2026 2:50 PM","","","Medium","HUN-3","3. Sign Up","0","","Master","S6","Functional","Yhomarys Pinzon","8/25/2026 4:34 PM","1"
"C100","Validate the email field with an invalid format.","","Yhomarys Pinzon","8/25/2026 4:35 PM","","","Medium","HUN-3","3. Sign Up","0","","Master","S6","Functional","Yhomarys Pinzon","8/25/2026 4:39 PM","1"
"C101","Verify registered email validation.","","Yhomarys Pinzon","8/25/2026 4:43 PM","","","High","HUN-3","3. Sign Up","0","","Master","S6","Functional","Yhomarys Pinzon","8/25/2026 4:46 PM","1"
"C102","Validate the ""Email"" field with a valid format.","","Yhomarys Pinzon","8/25/2026 4:47 PM","","","High","HUN-3","3. Sign Up","0","","Master","S6","Functional","Yhomarys Pinzon","8/25/2026 4:50 PM","1"
"C103","Verify empty password field.","","Yhomarys Pinzon","8/25/2026 5:17 PM","","","Medium","HUN-3","3. Sign Up","0","","Master","S6","Functional","Yhomarys Pinzon","8/25/2026 5:25 PM","1"
"C104","Validate the ""Password"" field with a valid format.","","Yhomarys Pinzon","8/26/2026 1:44 PM","","","High","HUN-3","3. Sign Up","0","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 4:06 PM","1"
"C105","Validate the password field visibility icon.","","Yhomarys Pinzon","8/26/2026 1:55 PM","","","Medium","HUN-3","3. Sign Up","0","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 4:04 PM","1"
"C106","Validate password length below minimum.","","Yhomarys Pinzon","8/26/2026 1:58 PM","","","High","HUN-3","3. Sign Up","0","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 5:46 PM","1"
"C107","Validate the minimum character limit for the password.","","Yhomarys Pinzon","8/26/2026 2:08 PM","","","High","HUN-3","3. Sign Up","0","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 2:21 PM","1"
"C108","Validate the maximum character limit for the password.","","Yhomarys Pinzon","8/26/2026 2:13 PM","","","Medium","HUN-3","3. Sign Up","0","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 2:21 PM","1"
"C109","Validate password length above maximum.","","Yhomarys Pinzon","8/26/2026 2:23 PM","","","Medium","HUN-3","3. Sign Up","0","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 11:32 PM","1"
"C110","Validate password format containing only numbers.","","Yhomarys Pinzon","8/26/2026 2:35 PM","","","High","HUN-3","3. Sign Up","0","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 2:49 PM","1"
"C112","Validate password format containing only lowercase letters.","","Yhomarys Pinzon","8/26/2026 2:51 PM","","","High","HUN-3","3. Sign Up","0","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 2:55 PM","1"
"C113","Validate password format containing only uppercase letters","","Yhomarys Pinzon","8/26/2026 2:55 PM","","","High","HUN-3","3. Sign Up","0","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 3:02 PM","1"
"C111","Validate password format containing only special characters.","","Yhomarys Pinzon","8/26/2026 2:49 PM","","","High","HUN-3","3. Sign Up","0","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 3:07 PM","1"
"C114","Validate password format without special characters.","","Yhomarys Pinzon","8/26/2026 3:07 PM","","","High","HUN-3","3. Sign Up","0","","Master","S6","Other","Yhomarys Pinzon","8/26/2026 3:10 PM","1"
"C115","Validate password format without numeric characters.","","Yhomarys Pinzon","8/26/2026 3:11 PM","","","High","HUN-3","3. Sign Up","0","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 3:13 PM","1"
"C116","Validate password format without alphabetic characters.","","Yhomarys Pinzon","8/26/2026 3:15 PM","","","High","HUN-3","3. Sign Up","0","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 3:17 PM","1"
"C117","Validate space characters in the password.","","Yhomarys Pinzon","8/26/2026 3:33 PM","","","Medium","HUN-3","3. Sign Up","0","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 3:46 PM","1"
"C118","Validate empty ""repeat password"" field.","","Yhomarys Pinzon","8/26/2026 3:47 PM","","","High","HUN-3","3. Sign Up","0","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 3:52 PM","1"
"C119","Validate incorrect password confirmation.","","Yhomarys Pinzon","8/26/2026 3:53 PM","","","High","HUN-3","3. Sign Up","0","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 3:56 PM","1"
"C120","Validate the visibility icon for the ""repeat password"" field.","","Yhomarys Pinzon","8/26/2026 4:01 PM","","","Medium","HUN-3","3. Sign Up","0","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 4:03 PM","1"
"C121","Validate the visibility of the ""Create Account"" button.","","Yhomarys Pinzon","8/26/2026 4:17 PM","","","Medium","HUN-3","3. Sign Up","0","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 4:19 PM","1"
"C122","Validate the hover effect for the ""Create Account"" button.","","Yhomarys Pinzon","8/26/2026 4:22 PM","","","Low","HUN-3","3. Sign Up","0","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 4:25 PM","1"
"C123","Validate the ""Create Account"" button redirect.","","Yhomarys Pinzon","8/26/2026 4:26 PM","","","High","HUN-3","3. Sign Up","0","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 4:29 PM","1"
"C124","Validate profile options after registration.","","Yhomarys Pinzon","8/26/2026 4:30 PM","","","High","HUN-3","3. Sign Up","0","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 4:36 PM","1"
"C125","Validate the visibility of the Google button.","","Yhomarys Pinzon","8/26/2026 4:39 PM","","","Medium","HUN-3","3. Sign Up","0","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 4:41 PM","1"
"C126","Validate Google button hover effect.","","Yhomarys Pinzon","8/26/2026 4:42 PM","","","Medium","HUN-3","3. Sign Up","0","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 4:43 PM","1"
"C127","Validate registration via Google.","","Yhomarys Pinzon","8/26/2026 4:44 PM","","","High","HUN-3","3. Sign Up","0","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 4:47 PM","1"
"C128","Validate LinkedIn button visibility.","","Yhomarys Pinzon","8/26/2026 4:57 PM","","","Medium","HUN-3","3. Sign Up","0","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 4:58 PM","1"
"C129","Validate the LinkedIn button's hover effect.","","Yhomarys Pinzon","8/26/2026 4:58 PM","","","Medium","HUN-3","3. Sign Up","0","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 4:59 PM","1"
"C130","Validate registration via LinkedIn.","","Yhomarys Pinzon","8/26/2026 5:00 PM","","","High","HUN-3","3. Sign Up","0","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 5:17 PM","1"
"C131","Validate GitHub button visibility.","","Yhomarys Pinzon","8/26/2026 5:02 PM","","","Medium","HUN-3","3. Sign Up","0","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 5:03 PM","1"
"C132","Validate the GitHub button's hover effect.","","Yhomarys Pinzon","8/26/2026 5:03 PM","","","Medium","HUN-3","3. Sign Up","0","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 5:04 PM","1"
"C133","Validate registration via GitHub.","","Yhomarys Pinzon","8/26/2026 5:14 PM","","","High","HUN-3","3. Sign Up","0","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 5:18 PM","1"
"C134","Validate empty ""My role"" field.","","Yhomarys Pinzon","8/26/2026 5:31 PM","","","High","HUN-3","As a recruiter","1","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 5:33 PM","1"
"C135","Validate the ""My role"" field with a valid format.","","Yhomarys Pinzon","8/26/2026 5:35 PM","","","High","HUN-3","As a recruiter","1","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 5:37 PM","1"
"C136","Validate ""My role"" field containing only numbers.","","Yhomarys Pinzon","8/26/2026 9:08 PM","","","High","HUN-3","As a recruiter","1","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 9:11 PM","1"
"C137","Validate case-insensitivity in ""My role"" field.","","Yhomarys Pinzon","8/26/2026 9:17 PM","","","High","HUN-3","As a recruiter","1","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 9:19 PM","1"
"C138","Validate the ""My role"" field containing only special characters.","","Yhomarys Pinzon","8/26/2026 9:20 PM","","","High","HUN-3","As a recruiter","1","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 9:23 PM","1"
"C139","Validate leading and trailing spaces in ""My role"" field.","","Yhomarys Pinzon","8/26/2026 9:28 PM","","","Medium","HUN-3","As a recruiter","1","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 9:34 PM","1"
"C140","Validate spaces between words in the ""My role"" field.","","Yhomarys Pinzon","8/26/2026 9:35 PM","","","Medium","HUN-3","As a recruiter","1","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 9:37 PM","1"
"C141","Validate the 'My role' field with a length less than the minimum.","","Yhomarys Pinzon","8/26/2026 9:44 PM","","","High","HUN-3","As a recruiter","1","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 9:51 PM","1"
"C142","Validate the minimum character limit for the 'My role' field.","","Yhomarys Pinzon","8/26/2026 9:56 PM","","","High","HUN-3","As a recruiter","1","","Master","S6","Other","Yhomarys Pinzon","8/26/2026 10:06 PM","1"
"C143","Validate the maximum character limit for the 'My role' field.","","Yhomarys Pinzon","8/26/2026 10:08 PM","","","Medium","HUN-3","As a recruiter","1","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 10:10 PM","1"
"C144","Validate ""My role"" field length above maximum.","","Yhomarys Pinzon","8/26/2026 10:12 PM","","","Medium","HUN-3","As a recruiter","1","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 11:32 PM","1"
"C145","Validate empty ""Company"" field.","","Yhomarys Pinzon","8/26/2026 10:54 PM","","","High","HUN-3","As a recruiter","1","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 10:56 PM","1"
"C146","Validate the ""Company"" field with a valid format.","","Yhomarys Pinzon","8/26/2026 10:56 PM","","","High","HUN-3","As a recruiter","1","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 10:59 PM","1"
"C147","Validate ""Company"" field containing only numbers.","","Yhomarys Pinzon","8/26/2026 11:00 PM","","","High","HUN-3","As a recruiter","1","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 11:02 PM","1"
"C148","Validate case-insensitivity in ""Company"" field","","Yhomarys Pinzon","8/26/2026 11:03 PM","","","High","HUN-3","As a recruiter","1","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 11:05 PM","1"
"C149","Validate the ""Company"" field containing only special characters.","","Yhomarys Pinzon","8/26/2026 11:05 PM","","","High","HUN-3","As a recruiter","1","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 11:07 PM","1"
"C150","Validate leading and trailing spaces in ""Company"" field.","","Yhomarys Pinzon","8/26/2026 11:08 PM","","","Medium","HUN-3","As a recruiter","1","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 11:12 PM","1"
"C151","Validate spaces between words in the ""Company"" field.","","Yhomarys Pinzon","8/26/2026 11:12 PM","","","Medium","HUN-3","As a recruiter","1","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 11:14 PM","1"
"C152","Validate the ""Company"" field with a length less than the minimum.","","Yhomarys Pinzon","8/26/2026 11:15 PM","","","High","HUN-3","As a recruiter","1","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 11:17 PM","1"
"C153","Validate the minimum character limit for the ""Company"" field.","","Yhomarys Pinzon","8/26/2026 11:17 PM","","","High","HUN-3","As a recruiter","1","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 11:23 PM","1"
"C154","Validate the maximum character limit for the ""Company"" field.","","Yhomarys Pinzon","8/26/2026 11:23 PM","","","Medium","HUN-3","As a recruiter","1","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 11:28 PM","1"
"C155","Validate ""Company"" field length above maximum.","","Yhomarys Pinzon","8/26/2026 11:29 PM","","","Medium","HUN-3","As a recruiter","1","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 11:31 PM","1"
"C156","Validate the visibility of the ""SAVE AND CONTINUE"" button.","","Yhomarys Pinzon","8/26/2026 11:35 PM","","","Medium","HUN-3","As a recruiter","1","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 11:36 PM","1"
"C157","Validate the hover effect for the ""SAVE AND CONTINUE"" button.","","Yhomarys Pinzon","8/26/2026 11:36 PM","","","Low","HUN-3","As a recruiter","1","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 11:38 PM","1"
"C158","Validate the ""SAVE AND CONTINUE"" button redirect.","","Yhomarys Pinzon","8/26/2026 11:38 PM","","","High","HUN-3","As a recruiter","1","","Master","S6","Functional","Yhomarys Pinzon","8/26/2026 11:41 PM","1"
"C159","Validate the visibility of the ""UPLOAD YOUR PHOTO"" area.","","Yhomarys Pinzon","8/27/2026 1:24 PM","","","Medium","HUN-3","As a recruiter","1","","Master","S6","Functional","Yhomarys Pinzon","8/27/2026 1:25 PM","1"
"C160","Validate upload of a valid photo profile.","","Yhomarys Pinzon","8/27/2026 1:26 PM","","","High","HUN-3","As a recruiter","1","","Master","S6","Functional","Yhomarys Pinzon","8/27/2026 1:28 PM","1"
"C161","Validate upload of an invalid file format for photo profile.","","Yhomarys Pinzon","8/27/2026 1:28 PM","","","Medium","HUN-3","As a recruiter","1","","Master","S6","Functional","Yhomarys Pinzon","8/27/2026 1:30 PM","1"
"C162","Validate the visibility of the ""Wallet address"" field.","","Yhomarys Pinzon","8/27/2026 1:34 PM","","","Medium","HUN-3","As a recruiter","1","","Master","S6","Functional","Yhomarys Pinzon","8/27/2026 1:35 PM","1"
"C163","Validate the tooltip information for the ""Wallet address"" field.","","Yhomarys Pinzon","8/27/2026 1:35 PM","","","Medium","HUN-3","As a recruiter","1","","Master","S6","Other","Yhomarys Pinzon","8/27/2026 1:36 PM","1"
"C164","Validate that the ""Wallet address"" field is optional.","","Yhomarys Pinzon","8/27/2026 1:37 PM","","","High","HUN-3","As a recruiter","1","","Master","S6","Functional","Yhomarys Pinzon","8/27/2026 1:39 PM","1"
"C165","Validate a valid wallet address format.","","Yhomarys Pinzon","8/27/2026 1:40 PM","","","High","HUN-3","As a recruiter","1","","Master","S6","Functional","Yhomarys Pinzon","8/27/2026 1:41 PM","1"
"C166","Validate an invalid wallet address format missing ""0x"".","","Yhomarys Pinzon","8/27/2026 1:42 PM","","","High","HUN-3","As a recruiter","1","","Master","S6","Functional","Yhomarys Pinzon","8/27/2026 1:47 PM","1"
"C167","Validate wallet address length below standard requirement.","","Yhomarys Pinzon","8/27/2026 1:45 PM","","","High","HUN-3","As a recruiter","1","","Master","S6","Functional","Yhomarys Pinzon","8/27/2026 1:47 PM","1"
"C168","Validate wallet address length above standard requirement.","","Yhomarys Pinzon","8/27/2026 1:48 PM","","","Medium","HUN-3","As a recruiter","1","","Master","S6","Functional","Yhomarys Pinzon","8/27/2026 1:50 PM","1"
"C169","Validate case-insensitivity in wallet field.","","Yhomarys Pinzon","8/27/2026 1:50 PM","","","Medium","HUN-3","As a recruiter","1","","Master","S6","Functional","Yhomarys Pinzon","8/27/2026 1:56 PM","1"
"C170","Validate empty ""First name"" field.","","Yhomarys Pinzon","8/27/2026 1:58 PM","","","High","HUN-3","As a recruiter","1","","Master","S6","Functional","Yhomarys Pinzon","8/27/2026 2:01 PM","1"
"C171","Validate the ""First name"" field with a valid format.","","Yhomarys Pinzon","8/27/2026 2:02 PM","","","High","HUN-3","As a recruiter","1","","Master","S6","Functional","Yhomarys Pinzon","8/27/2026 2:05 PM","1"
